,-8,-7.6,-7.2,-6.8,-6.4,-6,-5.6,-5.2,-4.8,-4.4,-4,-3.6,-3.2,-2.8,-2.4,-2,-1.6,-1.2,-0.8,-0.4,0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4,4.4,4.8,5.2,5.6,6,6.4,6.8,7.2,7.6,8
-8,-0.0840,-0.0906,-0.0904,-0.0838,-0.0714,-0.0544,-0.0342,-0.0122,0.0102,0.0318,0.0517,0.0692,0.0839,0.0959,0.1052,0.1121,0.1169,0.1202,0.1222,0.1233,0.1237,0.1233,0.1222,0.1202,0.1169,0.1121,0.1052,0.0959,0.0839,0.0692,0.0517,0.0318,0.0102,-0.0122,-0.0342,-0.0544,-0.0714,-0.0838,-0.0904,-0.0906,-0.0840
-7.6,-0.0906,-0.0902,-0.0826,-0.0685,-0.0492,-0.0264,-0.0016,0.0233,0.0470,0.0683,0.0864,0.1010,0.1121,0.1198,0.1246,0.1272,0.1283,0.1283,0.1279,0.1275,0.1274,0.1275,0.1279,0.1283,0.1283,0.1272,0.1246,0.1198,0.1121,0.1010,0.0864,0.0683,0.0470,0.0233,-0.0016,-0.0264,-0.0492,-0.0685,-0.0826,-0.0902,-0.0906
-7.2,-0.0904,-0.0826,-0.0675,-0.0465,-0.0215,0.0056,0.0328,0.0582,0.0806,0.0989,0.1126,0.1219,0.1269,0.1284,0.1272,0.1242,0.1204,0.1165,0.1132,0.1110,0.1102,0.1110,0.1132,0.1165,0.1204,0.1242,0.1272,0.1284,0.1269,0.1219,0.1126,0.0989,0.0806,0.0582,0.0328,0.0056,-0.0215,-0.0465,-0.0675,-0.0826,-0.0904
-6.8,-0.0838,-0.0685,-0.0465,-0.0198,0.0093,0.0384,0.0656,0.0889,0.1071,0.1198,0.1267,0.1283,0.1255,0.1193,0.1110,0.1017,0.0925,0.0844,0.0780,0.0740,0.0727,0.0740,0.0780,0.0844,0.0925,0.1017,0.1110,0.1193,0.1255,0.1283,0.1267,0.1198,0.1071,0.0889,0.0656,0.0384,0.0093,-0.0198,-0.0465,-0.0685,-0.0838
-6.4,-0.0714,-0.0492,-0.0215,0.0093,0.0403,0.0692,0.0936,0.1121,0.1237,0.1283,0.1263,0.1188,0.1070,0.0925,0.0767,0.0611,0.0468,0.0348,0.0257,0.0201,0.0182,0.0201,0.0257,0.0348,0.0468,0.0611,0.0767,0.0925,0.1070,0.1188,0.1263,0.1283,0.1237,0.1121,0.0936,0.0692,0.0403,0.0093,-0.0215,-0.0492,-0.0714
-6,-0.0544,-0.0264,0.0056,0.0384,0.0692,0.0951,0.1143,0.1255,0.1283,0.1231,0.1110,0.0936,0.0727,0.0501,0.0276,0.0065,-0.0118,-0.0267,-0.0377,-0.0443,-0.0466,-0.0443,-0.0377,-0.0267,-0.0118,0.0065,0.0276,0.0501,0.0727,0.0936,0.1110,0.1231,0.1283,0.1255,0.1143,0.0951,0.0692,0.0384,0.0056,-0.0264,-0.0544
-5.6,-0.0342,-0.0016,0.0328,0.0656,0.0936,0.1143,0.1260,0.1279,0.1204,0.1044,0.0819,0.0549,0.0257,-0.0035,-0.0311,-0.0556,-0.0761,-0.0922,-0.1036,-0.1105,-0.1127,-0.1105,-0.1036,-0.0922,-0.0761,-0.0556,-0.0311,-0.0035,0.0257,0.0549,0.0819,0.1044,0.1204,0.1279,0.1260,0.1143,0.0936,0.0656,0.0328,-0.0016,-0.0342
-5.2,-0.0122,0.0233,0.0582,0.0889,0.1121,0.1255,0.1279,0.1193,0.1007,0.0740,0.0417,0.0065,-0.0289,-0.0624,-0.0922,-0.1172,-0.1372,-0.1520,-0.1622,-0.1680,-0.1699,-0.1680,-0.1622,-0.1520,-0.1372,-0.1172,-0.0922,-0.0624,-0.0289,0.0065,0.0417,0.0740,0.1007,0.1193,0.1279,0.1255,0.1121,0.0889,0.0582,0.0233,-0.0122
-4.8,0.0102,0.0470,0.0806,0.1071,0.1237,0.1283,0.1204,0.1007,0.0713,0.0348,-0.0056,-0.0466,-0.0853,-0.1195,-0.1479,-0.1699,-0.1858,-0.1965,-0.2031,-0.2065,-0.2075,-0.2065,-0.2031,-0.1965,-0.1858,-0.1699,-0.1479,-0.1195,-0.0853,-0.0466,-0.0056,0.0348,0.0713,0.1007,0.1204,0.1283,0.1237,0.1071,0.0806,0.0470,0.0102
